start_date_local,type,distance
2023-08-14 15:38:08,Ride,5201.3
2023-08-15 13:53:17,Ride,24862.1
2023-08-16 11:15:32,Ride,19895.3
2023-08-16 17:20:27,Ride,22529.7
2023-08-17 15:09:17,Ride,10977.6
2023-08-18 10:06:14,Ride,3311.9
2023-08-18 15:32:20,Ride,6440.6
2023-08-19 11:00:17,Ride,19387.5
2023-08-21 20:42:51,Ride,16221.2
2023-08-22 09:53:33,Ride,2782.0
2023-08-22 10:12:34,Ride,2729.9
2023-08-24 16:01:29,Ride,2712.1
2023-08-24 16:35:02,Ride,2594.4
2023-08-25 09:50:35,Ride,50072.8
2023-08-27 11:36:53,Ride,33942.7
2023-08-30 09:52:34,Ride,44648.1
2023-08-30 18:47:32,Ride,6285.3
2023-08-31 10:00:47,Ride,61206.2
2023-09-01 10:33:23,Ride,74556.8
2023-09-02 10:09:21,Ride,60146.8
2023-09-03 10:15:01,Ride,220.9
2023-09-03 11:48:26,Ride,47519.1
2023-09-05 15:45:09,Ride,3762.5
2023-09-05 17:14:19,Ride,5748.9
2023-09-05 22:26:34,Ride,2444.8
2023-09-06 09:51:52,Ride,7424.5
2023-09-06 16:48:30,Ride,21527.7
2023-09-06 20:24:21,Ride,4111.9
2023-09-07 10:23:16,Ride,36380.2
2023-09-07 19:38:50,Ride,10947.7
2023-09-08 11:53:34,Ride,31724.2
2023-09-08 16:52:00,Ride,2053.0
2023-09-08 19:05:12,Ride,11435.0
2023-09-09 14:23:55,Ride,60565.4
2023-09-12 10:47:31,Ride,23340.3
2023-09-12 18:30:00,Ride,12721.8
2023-09-13 15:34:38,Ride,2138.8
2023-09-13 18:34:17,Ride,6025.6
2023-09-13 21:59:38,Ride,3296.8
2023-09-14 11:44:46,Ride,77365.8
2023-09-14 18:57:12,Ride,9881.2
2023-09-15 13:19:37,Ride,21750.9
2023-09-15 20:03:30,Ride,13353.6
2023-09-16 09:46:07,Ride,22591.8
2023-09-16 21:00:09,Ride,4559.5
2023-09-18 13:01:35,Ride,8676.1
2023-09-18 17:54:59,Ride,10017.5
2023-09-19 10:22:51,Ride,2898.2
2023-09-19 15:22:33,Ride,4085.7
2023-09-19 18:33:43,Ride,5433.8
2023-09-19 22:39:42,Ride,4256.9
2023-09-20 13:30:18,Ride,28183.1
2023-09-20 19:57:31,Ride,2973.8
2023-09-21 10:34:59,Ride,3538.8
2023-09-21 13:09:56,Ride,1976.8
2023-09-21 18:56:49,Ride,2877.0
2023-09-21 22:46:14,Ride,1968.6
2023-09-22 16:32:10,Ride,2780.0
2023-09-22 20:17:32,Ride,6162.0
2023-09-23 18:25:19,Ride,10132.8
2023-09-24 10:46:33,Ride,32310.4
2023-09-25 14:34:38,Ride,4901.9
2023-09-26 11:40:29,Ride,21172.8
2023-09-26 17:50:44,Ride,4732.3
2023-09-27 16:12:14,Ride,77419.2
2023-09-29 12:12:39,Ride,103542.0
2023-09-30 14:44:59,Ride,25529.3
2023-10-03 11:48:45,Ride,68288.0
2023-10-03 22:32:24,Ride,1946.7
2023-10-04 19:47:11,Ride,9299.9
2023-10-05 18:30:21,Ride,10832.8
2023-10-06 09:03:19,Ride,2638.3
2023-10-06 13:45:39,Ride,7170.7
2023-10-08 14:29:43,Ride,1143.0
2023-10-08 17:35:38,Ride,5279.1
2023-10-08 22:33:30,Ride,2687.4
2023-10-09 07:09:32,Ride,7379.7
2023-10-10 15:22:21,Ride,2322.2
2023-10-10 19:36:39,Ride,11810.2
2023-10-11 11:08:24,Ride,52095.1
2023-10-11 14:38:59,Ride,2074.3
2023-10-11 18:52:50,Ride,10533.1
2023-10-13 09:25:14,Ride,21911.2
2023-10-13 19:54:05,Ride,8833.2
2023-10-14 21:14:02,Ride,10546.0
2023-10-15 13:50:03,Ride,9909.0
2023-10-16 13:01:47,Ride,15898.4
2023-10-16 22:53:21,Ride,2651.0
2023-10-17 08:03:16,Ride,4075.6
2023-10-18 15:04:54,Ride,26396.8
2023-10-19 19:59:39,Ride,8984.4
